Loadstar Sensors SensorVUE - Log File
Units for F184625692:,N
Units for Peak (F184625692):,N
Units for Low (F184625692):,N
Logging Interval:,0.01 sec
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),F184625692,Peak (F184625692),Low (F184625692),
2019-03-29 11:31:14.897,0.028,-0.001,-0.001,-0.001,,
2019-03-29 11:31:14.912,0.043,-0.001,-0.001,-0.001,,
2019-03-29 11:31:14.927,0.058,-0.001,-0.001,-0.001,,
2019-03-29 11:31:14.941,0.072,-0.001,-0.001,-0.001,,
2019-03-29 11:31:14.956,0.087,0.000,0.000,-0.001,,
2019-03-29 11:31:14.971,0.102,0.000,0.000,-0.001,,
2019-03-29 11:31:14.986,0.117,0.000,0.000,-0.001,,
2019-03-29 11:31:15.001,0.132,0.000,0.000,-0.001,,
2019-03-29 11:31:15.015,0.146,-0.001,0.000,-0.001,,
2019-03-29 11:31:15.030,0.161,-0.001,0.000,-0.001,,
2019-03-29 11:31:15.046,0.177,-0.001,0.000,-0.001,,
2019-03-29 11:31:15.061,0.192,-0.001,0.000,-0.001,,
2019-03-29 11:31:15.074,0.205,0.000,0.000,-0.001,,
2019-03-29 11:31:15.089,0.220,0.000,0.000,-0.001,,
2019-03-29 11:31:15.104,0.235,0.000,0.000,-0.001,,
2019-03-29 11:31:15.119,0.250,0.000,0.000,-0.001,,
2019-03-29 11:31:15.133,0.264,0.000,0.000,-0.001,,
2019-03-29 11:31:15.148,0.279,0.000,0.000,-0.001,,
2019-03-29 11:31:15.163,0.294,0.000,0.000,-0.001,,
2019-03-29 11:31:15.178,0.309,0.000,0.000,-0.001,,
2019-03-29 11:31:15.192,0.323,0.000,0.000,-0.001,,
2019-03-29 11:31:15.207,0.338,0.000,0.000,-0.001,,
2019-03-29 11:31:15.222,0.353,0.000,0.000,-0.001,,
2019-03-29 11:31:15.237,0.368,0.000,0.000,-0.001,,
2019-03-29 11:31:15.252,0.383,0.000,0.000,-0.001,,
2019-03-29 11:31:15.266,0.397,0.000,0.000,-0.001,,
2019-03-29 11:31:15.281,0.412,0.000,0.000,-0.001,,
