Loadstar Sensors SensorVUE - Log File
Units for F184625692:,N
Units for Peak (F184625692):,N
Units for Low (F184625692):,N
Logging Interval:,0.01 sec
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),F184625692,Peak (F184625692),Low (F184625692),
2019-04-03 11:38:29.408,0.026,0.000,0.000,0.000,,
2019-04-03 11:38:29.423,0.041,0.000,0.000,0.000,,
2019-04-03 11:38:29.438,0.056,0.000,0.000,0.000,,
2019-04-03 11:38:29.452,0.070,0.000,0.000,0.000,,
2019-04-03 11:38:29.467,0.085,0.000,0.000,0.000,,
2019-04-03 11:38:29.482,0.100,0.000,0.000,0.000,,
2019-04-03 11:38:29.497,0.115,0.000,0.000,0.000,,
2019-04-03 11:38:29.511,0.129,0.000,0.000,0.000,,
2019-04-03 11:38:29.526,0.144,0.000,0.000,0.000,,
2019-04-03 11:38:29.541,0.159,0.001,0.001,0.000,,
2019-04-03 11:38:29.556,0.174,0.001,0.001,0.000,,
2019-04-03 11:38:29.571,0.189,0.001,0.001,0.000,,
2019-04-03 11:38:29.585,0.203,0.001,0.001,0.000,,
2019-04-03 11:38:29.599,0.217,0.000,0.001,0.000,,
2019-04-03 11:38:29.614,0.232,0.000,0.001,0.000,,
2019-04-03 11:38:29.629,0.247,0.000,0.001,0.000,,
2019-04-03 11:38:29.643,0.261,0.000,0.001,0.000,,
2019-04-03 11:38:29.658,0.276,0.000,0.001,0.000,,
2019-04-03 11:38:29.673,0.291,0.000,0.001,0.000,,
2019-04-03 11:38:29.688,0.306,0.000,0.001,0.000,,
2019-04-03 11:38:29.702,0.320,0.000,0.001,0.000,,
2019-04-03 11:38:29.717,0.335,0.000,0.001,0.000,,
2019-04-03 11:38:29.732,0.350,0.000,0.001,0.000,,
2019-04-03 11:38:29.747,0.365,0.000,0.001,0.000,,
2019-04-03 11:38:29.761,0.379,0.000,0.001,0.000,,
2019-04-03 11:38:29.776,0.394,0.000,0.001,0.000,,
2019-04-03 11:38:29.791,0.409,0.000,0.001,0.000,,
2019-04-03 11:38:29.806,0.424,0.000,0.001,0.000,,
2019-04-03 11:38:29.821,0.439,0.000,0.001,0.000,,
2019-04-03 11:38:29.835,0.453,0.001,0.001,0.000,,
2019-04-03 11:38:29.850,0.468,0.001,0.001,0.000,,
2019-04-03 11:38:29.865,0.483,0.001,0.001,0.000,,
2019-04-03 11:38:29.880,0.498,0.001,0.001,0.000,,
2019-04-03 11:38:29.894,0.512,0.001,0.001,0.000,,
2019-04-03 11:38:29.909,0.527,0.001,0.001,0.000,,
2019-04-03 11:38:29.924,0.542,0.001,0.001,0.000,,
2019-04-03 11:38:29.939,0.557,0.001,0.001,0.000,,
2019-04-03 11:38:29.953,0.571,0.001,0.001,0.000,,
2019-04-03 11:38:29.968,0.586,0.001,0.001,0.000,,
2019-04-03 11:38:29.983,0.601,0.001,0.001,0.000,,
2019-04-03 11:38:29.998,0.616,0.001,0.001,0.000,,
2019-04-03 11:38:30.012,0.630,0.000,0.001,0.000,,
2019-04-03 11:38:30.027,0.645,0.000,0.001,0.000,,
2019-04-03 11:38:30.042,0.660,0.000,0.001,0.000,,
2019-04-03 11:38:30.057,0.675,0.000,0.001,0.000,,
2019-04-03 11:38:30.071,0.689,0.001,0.001,0.000,,
2019-04-03 11:38:30.086,0.704,0.001,0.001,0.000,,
2019-04-03 11:38:30.101,0.719,0.001,0.001,0.000,,
2019-04-03 11:38:30.116,0.734,0.001,0.001,0.000,,
2019-04-03 11:38:30.131,0.749,0.001,0.001,0.000,,
2019-04-03 11:38:30.145,0.763,0.001,0.001,0.000,,
2019-04-03 11:38:30.160,0.778,0.001,0.001,0.000,,
2019-04-03 11:38:30.175,0.793,0.001,0.001,0.000,,
2019-04-03 11:38:30.190,0.808,0.001,0.001,0.000,,
2019-04-03 11:38:30.204,0.822,0.001,0.001,0.000,,
2019-04-03 11:38:30.219,0.837,0.001,0.001,0.000,,
2019-04-03 11:38:30.234,0.852,0.001,0.001,0.000,,
2019-04-03 11:38:30.250,0.868,0.000,0.001,0.000,,
2019-04-03 11:38:30.263,0.881,0.000,0.001,0.000,,
2019-04-03 11:38:30.278,0.896,0.000,0.001,0.000,,
2019-04-03 11:38:30.293,0.911,0.000,0.001,0.000,,
2019-04-03 11:38:30.308,0.926,0.001,0.001,0.000,,
2019-04-03 11:38:30.322,0.940,0.001,0.001,0.000,,
2019-04-03 11:38:30.337,0.955,0.001,0.001,0.000,,
2019-04-03 11:38:30.352,0.970,0.001,0.001,0.000,,
2019-04-03 11:38:30.367,0.985,0.000,0.001,0.000,,
2019-04-03 11:38:30.382,1.000,0.000,0.001,0.000,,
2019-04-03 11:38:30.396,1.014,0.000,0.001,0.000,,
2019-04-03 11:38:30.411,1.029,0.000,0.001,0.000,,
2019-04-03 11:38:30.426,1.044,0.001,0.001,0.000,,
2019-04-03 11:38:30.441,1.059,0.001,0.001,0.000,,
2019-04-03 11:38:30.455,1.073,0.001,0.001,0.000,,
2019-04-03 11:38:30.470,1.088,0.001,0.001,0.000,,
2019-04-03 11:38:30.485,1.103,0.001,0.001,0.000,,
2019-04-03 11:38:30.500,1.118,0.001,0.001,0.000,,
2019-04-03 11:38:30.514,1.132,0.001,0.001,0.000,,
2019-04-03 11:38:30.529,1.147,0.001,0.001,0.000,,
2019-04-03 11:38:30.544,1.162,0.001,0.001,0.000,,
2019-04-03 11:38:30.559,1.177,0.001,0.001,0.000,,
2019-04-03 11:38:30.573,1.191,0.001,0.001,0.000,,
2019-04-03 11:38:30.588,1.206,0.001,0.001,0.000,,
2019-04-03 11:38:30.603,1.221,0.001,0.001,0.000,,
2019-04-03 11:38:30.618,1.236,0.001,0.001,0.000,,
2019-04-03 11:38:30.632,1.250,0.001,0.001,0.000,,
2019-04-03 11:38:30.647,1.265,0.001,0.001,0.000,,
2019-04-03 11:38:30.662,1.280,0.000,0.001,0.000,,
2019-04-03 11:38:30.677,1.295,0.000,0.001,0.000,,
2019-04-03 11:38:30.691,1.309,0.000,0.001,0.000,,
2019-04-03 11:38:30.706,1.324,0.000,0.001,0.000,,
