Loadstar Sensors SensorVUE - Log File
Units for F184625692:,N
Units for Peak (F184625692):,N
Units for Low (F184625692):,N
Logging Interval:,0.01 sec
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),F184625692,Peak (F184625692),Low (F184625692),
2019-03-29 11:06:53.789,0.026,0.001,0.001,0.001,,
2019-03-29 11:06:53.805,0.042,0.001,0.001,0.001,,
2019-03-29 11:06:53.819,0.056,0.001,0.001,0.001,,
2019-03-29 11:06:53.834,0.071,0.001,0.001,0.001,,
2019-03-29 11:06:53.848,0.085,0.000,0.001,0.000,,
2019-03-29 11:06:53.863,0.100,0.000,0.001,0.000,,
2019-03-29 11:06:53.878,0.115,0.000,0.001,0.000,,
2019-03-29 11:06:53.893,0.130,0.000,0.001,0.000,,
2019-03-29 11:06:53.907,0.144,0.001,0.001,0.000,,
2019-03-29 11:06:53.922,0.159,0.001,0.001,0.000,,
2019-03-29 11:06:53.937,0.174,0.001,0.001,0.000,,
2019-03-29 11:06:53.952,0.189,0.001,0.001,0.000,,
2019-03-29 11:06:53.966,0.203,0.001,0.001,0.000,,
2019-03-29 11:06:53.981,0.218,0.001,0.001,0.000,,
2019-03-29 11:06:53.996,0.233,0.001,0.001,0.000,,
2019-03-29 11:06:54.011,0.248,0.001,0.001,0.000,,
2019-03-29 11:06:54.026,0.263,0.000,0.001,0.000,,
2019-03-29 11:06:54.040,0.277,0.000,0.001,0.000,,
2019-03-29 11:06:54.055,0.292,0.000,0.001,0.000,,
2019-03-29 11:06:54.071,0.308,0.000,0.001,0.000,,
2019-03-29 11:06:54.085,0.322,0.000,0.001,0.000,,
2019-03-29 11:06:54.099,0.336,0.000,0.001,0.000,,
2019-03-29 11:06:54.114,0.351,0.000,0.001,0.000,,
2019-03-29 11:06:54.129,0.366,0.000,0.001,0.000,,
2019-03-29 11:06:54.144,0.381,0.000,0.001,0.000,,
2019-03-29 11:06:54.158,0.395,0.000,0.001,0.000,,
2019-03-29 11:06:54.173,0.410,0.000,0.001,0.000,,
2019-03-29 11:06:54.188,0.425,0.000,0.001,0.000,,
2019-03-29 11:06:54.203,0.440,0.001,0.001,0.000,,
2019-03-29 11:06:54.217,0.454,0.001,0.001,0.000,,
2019-03-29 11:06:54.232,0.469,0.001,0.001,0.000,,
2019-03-29 11:06:54.247,0.484,0.001,0.001,0.000,,
2019-03-29 11:06:54.262,0.499,0.000,0.001,0.000,,
2019-03-29 11:06:54.277,0.514,0.000,0.001,0.000,,
2019-03-29 11:06:54.306,0.543,0.000,0.001,0.000,,
2019-03-29 11:06:54.321,0.558,0.000,0.001,0.000,,
2019-03-29 11:06:54.336,0.573,0.000,0.001,0.000,,
2019-03-29 11:06:54.350,0.587,0.000,0.001,0.000,,
2019-03-29 11:06:54.365,0.602,0.000,0.001,0.000,,
2019-03-29 11:06:54.380,0.617,0.001,0.001,0.000,,
2019-03-29 11:06:54.395,0.632,0.001,0.001,0.000,,
2019-03-29 11:06:54.409,0.646,0.001,0.001,0.000,,
2019-03-29 11:06:54.424,0.661,0.001,0.001,0.000,,
2019-03-29 11:06:54.439,0.676,0.000,0.001,0.000,,
2019-03-29 11:06:54.454,0.691,0.000,0.001,0.000,,
2019-03-29 11:06:54.468,0.705,0.000,0.001,0.000,,
2019-03-29 11:06:54.483,0.720,0.000,0.001,0.000,,
2019-03-29 11:06:54.498,0.735,0.000,0.001,0.000,,
2019-03-29 11:06:54.513,0.750,0.000,0.001,0.000,,
2019-03-29 11:06:54.527,0.764,0.000,0.001,0.000,,
2019-03-29 11:06:54.542,0.779,0.000,0.001,0.000,,
2019-03-29 11:06:54.557,0.794,0.001,0.001,0.000,,
2019-03-29 11:06:54.572,0.809,0.001,0.001,0.000,,
2019-03-29 11:06:54.586,0.823,0.001,0.001,0.000,,
2019-03-29 11:06:54.601,0.838,0.001,0.001,0.000,,
2019-03-29 11:06:54.615,0.852,0.001,0.001,0.000,,
2019-03-29 11:06:54.630,0.867,0.001,0.001,0.000,,
