Loadstar Sensors SensorVUE - Log File
Units for F184625692:,N
Units for Peak (F184625692):,N
Units for Low (F184625692):,N
Logging Interval:,0.01 sec
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),F184625692,Peak (F184625692),Low (F184625692),
2019-03-29 11:54:26.669,0.027,0.000,0.000,0.000,,
2019-03-29 11:54:26.683,0.041,0.000,0.000,0.000,,
2019-03-29 11:54:26.698,0.056,0.000,0.000,0.000,,
2019-03-29 11:54:26.714,0.072,0.000,0.000,0.000,,
2019-03-29 11:54:26.728,0.086,0.000,0.000,0.000,,
2019-03-29 11:54:26.742,0.100,0.001,0.001,0.000,,
2019-03-29 11:54:26.757,0.115,0.001,0.001,0.000,,
2019-03-29 11:54:26.773,0.131,0.001,0.001,0.000,,
2019-03-29 11:54:26.787,0.145,0.001,0.001,0.000,,
2019-03-29 11:54:26.801,0.159,0.000,0.001,0.000,,
2019-03-29 11:54:26.816,0.174,0.000,0.001,0.000,,
2019-03-29 11:54:26.831,0.189,0.000,0.001,0.000,,
2019-03-29 11:54:26.846,0.204,0.000,0.001,0.000,,
2019-03-29 11:54:26.860,0.218,0.001,0.001,0.000,,
2019-03-29 11:54:26.875,0.233,0.001,0.001,0.000,,
2019-03-29 11:54:26.890,0.248,0.001,0.001,0.000,,
2019-03-29 11:54:26.920,0.278,0.000,0.001,0.000,,
2019-03-29 11:54:26.934,0.292,0.000,0.001,0.000,,
2019-03-29 11:54:26.949,0.307,0.000,0.001,0.000,,
2019-03-29 11:54:26.964,0.322,0.000,0.001,0.000,,
2019-03-29 11:54:26.979,0.337,0.000,0.001,0.000,,
2019-03-29 11:54:26.994,0.352,0.000,0.001,0.000,,
2019-03-29 11:54:27.008,0.366,0.000,0.001,0.000,,
2019-03-29 11:54:27.023,0.381,0.000,0.001,0.000,,
2019-03-29 11:54:27.038,0.396,0.001,0.001,0.000,,
2019-03-29 11:54:27.052,0.410,0.001,0.001,0.000,,
2019-03-29 11:54:27.067,0.425,0.001,0.001,0.000,,
2019-03-29 11:54:27.083,0.441,0.001,0.001,0.000,,
2019-03-29 11:54:27.097,0.455,0.000,0.001,0.000,,
2019-03-29 11:54:27.111,0.469,0.000,0.001,0.000,,
2019-03-29 11:54:27.126,0.484,0.000,0.001,0.000,,
2019-03-29 11:54:27.141,0.499,0.000,0.001,0.000,,
2019-03-29 11:54:27.171,0.529,0.001,0.001,0.000,,
2019-03-29 11:54:27.185,0.543,0.001,0.001,0.000,,
2019-03-29 11:54:27.200,0.558,0.001,0.001,0.000,,
2019-03-29 11:54:27.215,0.573,0.000,0.001,0.000,,
2019-03-29 11:54:27.230,0.588,0.000,0.001,0.000,,
2019-03-29 11:54:27.244,0.602,0.000,0.001,0.000,,
2019-03-29 11:54:27.259,0.617,0.000,0.001,0.000,,
2019-03-29 11:54:27.274,0.632,0.001,0.001,0.000,,
2019-03-29 11:54:27.289,0.647,0.001,0.001,0.000,,
2019-03-29 11:54:27.303,0.661,0.001,0.001,0.000,,
2019-03-29 11:54:27.318,0.676,0.001,0.001,0.000,,
2019-03-29 11:54:27.333,0.691,0.000,0.001,0.000,,
2019-03-29 11:54:27.348,0.706,0.000,0.001,0.000,,
2019-03-29 11:54:27.362,0.720,0.000,0.001,0.000,,
2019-03-29 11:54:27.377,0.735,0.000,0.001,0.000,,
2019-03-29 11:54:27.392,0.750,0.001,0.001,0.000,,
2019-03-29 11:54:27.422,0.780,0.001,0.001,0.000,,
2019-03-29 11:54:27.436,0.794,0.001,0.001,0.000,,
2019-03-29 11:54:27.451,0.809,0.001,0.001,0.000,,
2019-03-29 11:54:27.466,0.824,0.001,0.001,0.000,,
2019-03-29 11:54:27.481,0.839,0.001,0.001,0.000,,
2019-03-29 11:54:27.495,0.853,0.001,0.001,0.000,,
2019-03-29 11:54:27.510,0.868,0.000,0.001,0.000,,
2019-03-29 11:54:27.525,0.883,0.000,0.001,0.000,,
2019-03-29 11:54:27.540,0.898,0.000,0.001,0.000,,
2019-03-29 11:54:27.554,0.912,0.000,0.001,0.000,,
2019-03-29 11:54:27.569,0.927,0.000,0.001,0.000,,
2019-03-29 11:54:27.584,0.942,0.000,0.001,0.000,,
2019-03-29 11:54:27.599,0.957,0.000,0.001,0.000,,
2019-03-29 11:54:27.613,0.971,0.000,0.001,0.000,,
2019-03-29 11:54:27.628,0.986,0.000,0.001,0.000,,
2019-03-29 11:54:27.643,1.001,0.000,0.001,0.000,,
2019-03-29 11:54:27.673,1.031,0.000,0.001,0.000,,
2019-03-29 11:54:27.687,1.045,0.000,0.001,0.000,,
2019-03-29 11:54:27.702,1.060,0.000,0.001,0.000,,
2019-03-29 11:54:27.717,1.075,0.000,0.001,0.000,,
2019-03-29 11:54:27.732,1.090,0.000,0.001,0.000,,
2019-03-29 11:54:27.746,1.104,0.000,0.001,0.000,,
2019-03-29 11:54:27.760,1.118,0.000,0.001,0.000,,
2019-03-29 11:54:27.776,1.134,0.000,0.001,0.000,,
2019-03-29 11:54:27.790,1.148,0.000,0.001,0.000,,
2019-03-29 11:54:27.804,1.162,0.001,0.001,0.000,,
2019-03-29 11:54:27.820,1.178,0.001,0.001,0.000,,
2019-03-29 11:54:27.834,1.192,0.001,0.001,0.000,,
2019-03-29 11:54:27.850,1.208,0.001,0.001,0.000,,
2019-03-29 11:54:27.865,1.223,0.001,0.001,0.000,,
2019-03-29 11:54:27.878,1.236,0.001,0.001,0.000,,
2019-03-29 11:54:27.893,1.251,0.001,0.001,0.000,,
2019-03-29 11:54:27.909,1.267,0.001,0.001,0.000,,
2019-03-29 11:54:27.924,1.282,0.000,0.001,0.000,,
2019-03-29 11:54:27.938,1.296,0.000,0.001,0.000,,
2019-03-29 11:54:27.952,1.310,0.000,0.001,0.000,,
2019-03-29 11:54:27.967,1.325,0.000,0.001,0.000,,
2019-03-29 11:54:27.981,1.339,0.000,0.001,0.000,,
2019-03-29 11:54:27.996,1.354,0.000,0.001,0.000,,
2019-03-29 11:54:28.011,1.369,0.000,0.001,0.000,,
2019-03-29 11:54:28.026,1.384,0.000,0.001,0.000,,
2019-03-29 11:54:28.042,1.400,0.000,0.001,0.000,,
2019-03-29 11:54:28.055,1.413,0.000,0.001,0.000,,
2019-03-29 11:54:28.070,1.428,0.000,0.001,0.000,,
2019-03-29 11:54:28.085,1.443,0.000,0.001,0.000,,
2019-03-29 11:54:28.100,1.458,0.001,0.001,0.000,,
2019-03-29 11:54:28.114,1.472,0.001,0.001,0.000,,
2019-03-29 11:54:28.129,1.487,0.001,0.001,0.000,,
2019-03-29 11:54:28.144,1.502,0.001,0.001,0.000,,
2019-03-29 11:54:28.159,1.517,0.000,0.001,0.000,,
2019-03-29 11:54:28.173,1.531,0.000,0.001,0.000,,
2019-03-29 11:54:28.188,1.546,0.000,0.001,0.000,,
2019-03-29 11:54:28.203,1.561,0.000,0.001,0.000,,
2019-03-29 11:54:28.218,1.576,0.001,0.001,0.000,,
2019-03-29 11:54:28.233,1.591,0.001,0.001,0.000,,
2019-03-29 11:54:28.247,1.605,0.001,0.001,0.000,,
2019-03-29 11:54:28.262,1.620,0.001,0.001,0.000,,
2019-03-29 11:54:28.277,1.635,0.001,0.001,0.000,,
2019-03-29 11:54:28.292,1.650,0.001,0.001,0.000,,
2019-03-29 11:54:28.306,1.664,0.001,0.001,0.000,,
2019-03-29 11:54:28.321,1.679,0.001,0.001,0.000,,
2019-03-29 11:54:28.336,1.694,0.001,0.001,0.000,,
2019-03-29 11:54:28.351,1.709,0.001,0.001,0.000,,
2019-03-29 11:54:28.365,1.723,0.001,0.001,0.000,,
2019-03-29 11:54:28.380,1.738,0.001,0.001,0.000,,
2019-03-29 11:54:28.395,1.753,0.001,0.001,0.000,,
